Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte énderung;;;;;
3190;73369936;Raiffeisenbank Seeg -alt-;Seeg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3191;73369954;Raiffeisenbank Wald-Gîrisried;Wald, OstallgÑu;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3192;73370008;Deutsche Bank;Kempten (AllgÑu);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3193;73370008;Deutsche Bank;Memmingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3194;73370008;Deutsche Bank;Sonthofen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3195;73370008;Deutsche Bank;Marktoberdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3196;73370008;Deutsche Bank;Kaufbeuren;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3197;73370008;Deutsche Bank;Geretsried;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3198;73370024;Deutsche Bank Privat und GeschÑftskunden;Kempten (AllgÑu);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3199;73370024;Deutsche Bank Privat und GeschÑftskunden;Kaufbeuren;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3200;73370024;Deutsche Bank Privat und GeschÑftskunden;Marktoberdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3201;73370024;Deutsche Bank Privat und GeschÑftskunden;Memmingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3202;73370024;Deutsche Bank Privat und GeschÑftskunden;Sonthofen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3203;73370024;Deutsche Bank Privat- und GeschÑftskunden;Geretsried;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
3204;73390000;AllgÑuer Volksbank Kempten-Sonthofen;Kempten (AllgÑu);Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3205;73392000;Volksbank Immenstadt;Immenstadt i. AllgÑu;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3206;73420071;UniCredit Bank - HypoVereinsbank AG;Kaufbeuren;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3207;73420071;UniCredit Bank - HypoVereinsbank AG;TÅrkheim, Wertach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3208;73420071;UniCredit Bank - HypoVereinsbank AG;Lechbruck am See;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3209;73420071;UniCredit Bank - HypoVereinsbank AG;Marktoberdorf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3210;73421478;UniCredit Bank - HypoVereinsbank AG;Schongau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3211;73421478;UniCredit Bank - HypoVereinsbank AG;Pei·enberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3212;73450000;Kreis- und Stadtsparkasse Kaufbeuren;Kaufbeuren;Finanz Informatik GmbH & Co. KG;DSGV;banking-by5.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by5.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3213;73451450;Kreissparkasse Schongau;Schongau;Finanz Informatik GmbH & Co. KG;DSGV;banking-by2.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by2.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3214;73460046;VR Bank Kaufbeuren-OstallgÑu;Kaufbeuren;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3215;74020074;UniCredit Bank - HypoVereinsbank AG;Passau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3216;74020074;UniCredit Bank - HypoVereinsbank AG;Osterhofen, Niederbay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3217;74020074;UniCredit Bank - HypoVereinsbank AG;Waldkirchen, Niederbay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3218;74020074;UniCredit Bank - HypoVereinsbank AG;Plattling;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3219;74020074;UniCredit Bank - HypoVereinsbank AG;Regen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3220;74020074;UniCredit Bank - HypoVereinsbank AG;Zwiesel;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3221;74020074;UniCredit Bank - HypoVereinsbank AG;Vilshofen an der Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3222;74020074;UniCredit Bank - HypoVereinsbank AG;Pocking;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3223;74020100;Raiffeisenlandesbank Oberîsterreich;Passau;Bank-Verlag GmbH;BdB;;;;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;21.10.2004;;;;;
3224;74040082;Commerzbank;Passau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3225;74050000;Sparkasse Passau;Passau;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3226;74051230;Sparkasse Freyung-Grafenau;Freyung-Grafenau;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3227;74061101;Raiffeisenbank Am Goldenen Steig;Rîhrnbach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3228;74061564;Raiffeisenbank Unteres Inntal;Neuhaus a.Inn;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3229;74061670;Raiffeisenbank;Ortenburg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3230;74061813;VR-Bank Rottal-Inn eG;Pfarrkirchen, Niederbay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;15.10.2016;;;;;
3231;74062490;Raiffeisenbank Vilshofener Land eG;Vilshofen an der Donau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;24.06.2017;;;;;
3232;74062786;Raiffeisenbank i Lkr Passau-Nord;Tiefenbach, Kr Passau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3233;74064593;Raiffeisenbank;Wegscheid, Niederbay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3234;74066749;Raiffeisenbank im SÅdl Bayerischen Wald;Hauzenberg, Niederbay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3235;74067000;Rottaler Raiffeisenbank;Pocking;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3236;74069744;Raiffeisenbank;Grainet;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3237;74069758;Raiffeisenbank Kirchberg v. Wald;Tiefenbach, Kr Passau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3238;74069768;Raiffeisenbank am Dreisessel;Neureichenau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3239;74090000;VR-Bank Passau;Passau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;12.11.2016;;;;;
3240;74092400;Volksbank Vilshofen;Vilshofen an der Donau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3241;74120071;UniCredit Bank - HypoVereinsbank AG;Deggendorf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3242;74150000;Sparkasse Deggendorf;Deggendorf;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3243;74151450;Sparkasse Regen-Viechtach;Regen-Viechtach;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3244;74160025;Raiffeisenbank Deggendorf-Plattling eG;Deggendorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;08.07.2017;;;;;
3245;74161608;Raiffeisenbank Hengersberg-Schîllnach;Hengersberg b Deggendorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3246;74190000;GenoBank DonauWald eG;Viechtach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;26.11.2016;;;;;
3247;74191000;VR-Bank Landau eG;Landau a.d.Isar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;08.09.2018;;;;;
3248;74220075;UniCredit Bank - HypoVereinsbank AG;Straubing;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3249;74221170;UniCredit Bank - HypoVereinsbank AG;Cham, Oberpf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3250;74221170;UniCredit Bank - HypoVereinsbank AG;Bad Kîtzting;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3251;74240062;Commerzbank;Straubing;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3252;74250000;Sparkasse Niederbayern Mitte;Straubing-Bogen;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3253;74251020;Sparkasse im Landkreis Cham;Cham;Finanz Informatik GmbH & Co. KG;DSGV;banking-by4.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3254;74260110;Raiffeisenbank;Straubing;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3255;74261024;Raiffeisenbank Cham-Roding-Furth im Wald;Cham, Oberpf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3256;74290000;Volksbank Straubing;Straubing;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3257;74320073;UniCredit Bank - HypoVereinsbank AG;Landshut, Isar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3258;74320073;UniCredit Bank - HypoVereinsbank AG;Pfarrkirchen, Niederbay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3259;74320073;UniCredit Bank - HypoVereinsbank AG;Simbach a. Inn;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3260;74320073;UniCredit Bank - HypoVereinsbank AG;Landau a.d.Isar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3261;74320073;UniCredit Bank - HypoVereinsbank AG;Dingolfing;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3262;74320073;UniCredit Bank - HypoVereinsbank AG;Moosburg a.d.Isar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3263;74320073;UniCredit Bank - HypoVereinsbank AG;Rottenburg a.d.Laaber;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3264;74320073;UniCredit Bank - HypoVereinsbank AG;Velden, Vils;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3265;74320073;UniCredit Bank - HypoVereinsbank AG;Vilsbiburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3266;74320073;UniCredit Bank - HypoVereinsbank AG;Ergolding;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3267;74340077;Commerzbank;Landshut;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3268;74350000;Sparkasse Landshut;Landshut;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3269;74351430;Sparkasse Rottal-Inn;Rottal-Inn;Finanz Informatik GmbH & Co. KG;DSGV;banking-by3.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3270;74351740;Sparkasse Moosburg;Moosburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-by2.s-fints-pt-by.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-by2.s-fints-pt-by.de/fints30;FinTS V3.0;09.07.2016;;;;;
3271;74361211;Raiffeisenbank Arnstorf;Arnstorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3272;74362663;Raiffeisenbank Altdorf-Ergolding;Ergolding;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3273;74364689;Raiffeisenbank Pfeffenhausen-Rottenburg;Pfeffenhausen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3274;74369068;Raiffeisenbank Hofkirchen-Bayerbach;Laberweinting;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3275;74369088;Raiffeisenbank Geiselhîring-Pfaffenberg;Geiselhîring;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3276;74369130;Raiffeisenbank;Parkstetten;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3277;74369146;Raiffeisenbank Rattiszell-Konzell;Rattiszell;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3278;74369656;Raiffeisenbank;Essenbach, Niederbay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3279;74369662;Raiffeisenbank Buch-Eching;Eching, Niederbay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3280;74390000;VR-Bank Landshut;Landshut, Isar;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3281;74391300;Volksbank-Raiffeisenbank Dingolfing;Dingolfing;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3282;74392300;VR-Bank Vilsbiburg eG;Vilsbiburg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;28.10.2017;;;;;
3283;75020073;UniCredit Bank - HypoVereinsbank AG;Regensburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3284;75020073;UniCredit Bank - HypoVereinsbank AG;Abensberg, Hallertau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3285;75020073;UniCredit Bank - HypoVereinsbank AG;Neustadt a.d.Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3286;75020073;UniCredit Bank - HypoVereinsbank AG;Kelheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3287;75020073;UniCredit Bank - HypoVereinsbank AG;Neutraubling;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3288;75020073;UniCredit Bank - HypoVereinsbank AG;Parsberg, Oberpf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
